# GongFa config (2026-06-14)
name,affiliation,grade,elementMain,elementSub,starRootBone,starPhysique,starSpirit,starMind,starReaction,starTalent,starFortune,growth,chapters
gongfa_baoyuanshouyi,faction_taiyidaoting,grade_mid,element_water,element_wind,2,1,4,4,1,3,3,realm_lianqi:3/3/2/3/1/2/1/0.2/0.3|realm_zhuji:40/30/15/23/13/20/8/0.5/1.0|realm_jindan:200/267/73/107/67/87/30/0.8/1.7|realm_yuanying:1000/1067/300/433/267/367/100/1/2,chapter_shouyi:realm_lianqi:3:3:0:0:0:0:0:0:desc_shouyi_stack|chapter_baoyuan:realm_zhuji:3:3:0:0:0:0:0:0:desc_shouyi_block|chapter_zhixu:realm_jindan:3:3:0:0:0:0:0:0:desc_shouyi_full|chapter_shoujing:realm_yuanying:3:3:0:0:0:0:0:0:desc_shouyi_extra
gongfa_qiushuiyouxin,faction_sanxiu,grade_mid,element_water,element_wind,3,2,3,3,1,4,4,realm_lianqi:7/3/4/3/3/2/2/0.2/0.3|realm_zhuji:67/29/25/21/21/17/10/0.5/0.8|realm_jindan:317/292/125/117/100/92/38/0.8/1.7|realm_yuanying:1500/1167/500/458/417/375/125/1/2.5,chapter_chuanliu:realm_lianqi:3:0:0:0:0:0:0:0:desc_chuanliu|chapter_shishui:realm_zhuji:3:0:0:0:0:0:0:0:desc_shishui|chapter_qiushui:realm_jindan:3:0:0:0:0:0:0:0:desc_qiushui|chapter_linshui:realm_yuanying:3:0:0:0:0:0:0:0:desc_linshui

# Yuqingya
gongfa_jiuxiaoleijie,faction_yuqingya,grade_high,element_thunder,element_metal,5,4,4,5,1,2,1,realm_lianqi:12/4/6/4/5/3/3/0.2/0.5|realm_zhuji:120/41/45/33/41/27/20/0.5/1.7|realm_jindan:570/408/225/186/200/150/75/0.8/3.3|realm_yuanying:2700/1633/900/733/833/600/250/1/5|realm_huashen:10500/7583/3750/3066/3333/2400/750/1.2/7.5|realm_lianxu:45000/32667/15000/12000/12500/9333/2500/1.5/10,chapter_yinlei:realm_zhuji:0:0:0:0:3:0:0:0:desc_leijie_mark|chapter_xuting:realm_jindan:0:0:0:0:3:0:0:0:desc_leijie_5stack|chapter_jiuxiao:realm_yuanying:0:0:0:0:3:0:0:0:desc_leijie_amplify|chapter_cuizhe:realm_huashen:0:0:0:0:3:0:0:0:desc_leijie_wanjun|chapter_wanjun:realm_lianxu:0:0:0:0:3:0:0:0:desc_leijie_mandate|chapter_mimie:realm_lianxu:0:0:0:0:3:0:0:0:desc_leijie_furnace
gongfa_kuxingjiandian,faction_yuqingya,grade_mid,element_metal,,4,3,2,5,1,4,2,realm_lianqi:10/2/6/2/5/2/3/0.2/0.5|realm_zhuji:100/16/50/16/41/13/20/0.5/1.7|realm_jindan:475/116/250/93/200/75/75/0.8/3.3|realm_yuanying:2250/466/1000/366/833/300/250/1/5|realm_huashen:8750/2166/4167/1533/3333/1200/750/1.2/7.5,chapter_mojian:realm_lianqi:0:0:0:0:3:0:0:0:desc_blood_sword|chapter_duanlong:realm_zhuji:0:0:0:0:3:0:0:0:desc_duanlong|chapter_wujuan:realm_jindan:0:0:0:0:3:0:0:0:desc_wujuan|chapter_xuefeng:realm_yuanying:0:0:0:0:3:0:0:0:desc_xuefeng|chapter_gujian:realm_huashen:0:0:0:0:3:0:0:0:desc_gujian
gongfa_jileiposhan,faction_yuqingya,grade_top,element_thunder,element_metal,5,4,4,5,1,2,1,realm_lianqi:13/5/7/5/5/3/3/0.2/0.5|realm_zhuji:133/58/50/42/42/33/20/0.5/1.7|realm_jindan:633/583/250/233/200/183/75/0.8/3.3|realm_yuanying:3000/2333/1000/917/833/750/250/1/5|realm_huashen:11667/10833/4167/3833/3333/3000/750/1.2/7.5|realm_lianxu:50000/46667/16667/15000/12500/11667/2500/1.5/10,chapter_cuifeng:realm_zhuji:3:0:0:0:3:0:0:0:desc_lightning_armor|chapter_jinglei:realm_jindan:3:0:0:0:3:0:0:0:desc_break_mountain|chapter_poshan:realm_yuanying:3:0:0:0:3:0:0:0:desc_wanjun|chapter_wanjun2:realm_huashen:3:0:0:0:3:0:0:0:desc_buxi|chapter_buxi:realm_lianxu:3:0:0:0:3:0:0:0:desc_ceaseless|chapter_zhiren:realm_lianxu:3:0:0:0:3:0:0:0:desc_zhiren
gongfa_leicnicuiti,faction_yuqingya,grade_low,element_thunder,,5,4,2,4,1,2,2,realm_lianqi:14/3/4/2/6/3/2/0.2/0.3|realm_zhuji:133/23/33/16/50/20/12/0.5/1.0|realm_jindan:633/233/166/93/250/116/45/0.8/2.0|realm_yuanying:3000/933/666/366/1000/466/150/1/3.0,chapter_ganlei:realm_fanren:3:0:0:0:0:0:3:0:desc_lightning_sense|chapter_yinlei2:realm_lianqi:3:0:0:0:0:0:3:0:desc_lightning_quench|chapter_cuiti:realm_zhuji:3:0:0:0:0:0:3:0:desc_iron_bone|chapter_leiji:realm_jindan:3:0:0:0:0:0:3:0:desc_thunder_body|chapter_buhuai:realm_yuanying:3:0:0:0:0:0:3:0:desc_indestructible

# Hunyuanshan
